[06-01-23 18:59:05.335] LOG  : General     , 1673031545334> cachedir set to "C:\Users\Fraser\Zomboid".
[06-01-23 18:59:05.345] LOG  : General     , 1673031545345> 06-01-2023 18:59:05.
[06-01-23 18:59:05.345] LOG  : General     , 1673031545345> cachedir is "C:\Users\Fraser\Zomboid".
[06-01-23 18:59:05.346] LOG  : General     , 1673031545345> LogFileDir is "C:\Users\Fraser\Zomboid\Logs".
[06-01-23 18:59:05.346] LOG  : General     , 1673031545346> ===== System specs =====.
[06-01-23 18:59:05.347] LOG  : General     , 1673031545347> OS: Windows 10, version: 10.0, arch: amd64.
[06-01-23 18:59:05.347] LOG  : General     , 1673031545347> Processor: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel.
[06-01-23 18:59:05.347] LOG  : General     , 1673031545347> Processor cores: 24.
[06-01-23 18:59:05.348] LOG  : General     , 1673031545348> Available processors (cores): 24.
[06-01-23 18:59:05.349] LOG  : General     , 1673031545349> Memory free: 225.29953 MB.
[06-01-23 18:59:05.349] LOG  : General     , 1673031545349> Memory max: 3072.0 MB.
[06-01-23 18:59:05.349] LOG  : General     , 1673031545349> Memory  total available to JVM: 252.0 MB.
[06-01-23 18:59:05.352] LOG  : General     , 1673031545352> C:\, Total: 232.15234 GB, Free: 141.99895 GB.
[06-01-23 18:59:05.352] LOG  : General     , 1673031545352> D:\, Total: 232.37343 GB, Free: 216.84627 GB.
[06-01-23 18:59:05.353] LOG  : General     , 1673031545353> E:\, Total: 931.51074 GB, Free: 529.8485 GB.
[06-01-23 18:59:05.469] LOG  : General     , 1673031545468> Mobo = [Product=TUF GAMING Z790-PLUS WIFI D4].
[06-01-23 18:59:05.524] LOG  : General     , 1673031545524> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3400,Name=13th Gen Intel(R) Core(TM) i7-13700K].
[06-01-23 18:59:05.592] LOG  : General     , 1673031545592> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.2737,Name=NVIDIA GeForce RTX 3080 Ti].
[06-01-23 18:59:05.647] LOG  : General     , 1673031545647> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors].
[06-01-23 18:59:05.704] LOG  : General     , 1673031545704> Sound = { [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio] }.
[06-01-23 18:59:05.758] LOG  : General     , 1673031545758> Memory RAM = { [Capacity=8589934592,Manufacturer=Corsair], [Capacity=8589934592,Manufacturer=Corsair] }.
[06-01-23 18:59:05.758] LOG  : General     , 1673031545758> ========================.
[06-01-23 18:59:05.758] LOG  : General     , 1673031545758> -- listing properties --.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545758> java.specification.version=17.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> sun.cpu.isalist=amd64.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> sun.jnu.encoding=Cp1252.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> java.class.path=.;commons-compress-1.18.jar;istack-co....
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> java.vm.vendor=Azul Systems, Inc..
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> sun.arch.data.model=64.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> user.variant=.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> java.vendor.url=http://www.azul.com/.
[06-01-23 18:59:05.759] LOG  : General     , 1673031545759> user.timezone=Europe/London.
[06-01-23 18:59:05.760] LOG  : General     , 1673031545759> zomboid.steam=1.
[06-01-23 18:59:05.760] LOG  : General     , 1673031545760> java.vm.specification.version=17.
[06-01-23 18:59:05.760] LOG  : General     , 1673031545760> os.name=Windows 10.
[06-01-23 18:59:05.760] LOG  : General     , 1673031545760> user.country=GB.
[06-01-23 18:59:05.760] LOG  : General     , 1673031545760> sun.boot.library.path=E:\steam_games\steamapps\common\Proje....
[06-01-23 18:59:05.760] LOG  : General     , 1673031545760> zomboid.znetlog=1.
